timestamp,easting,northing,zone_number,zone_letter
1741266351.1253736,330235.09720562946,4156650.231307703,52,S
1741266351.2503736,330235.10899000766,4156650.3753746,52,S
1741266351.3753736,330235.1119389494,4156650.5196221243,52,S
1741266351.5003736,330235.1239501689,4156650.6747849844,52,S
1741266351.6253736,330235.14502366795,4156650.84086318,52,S
1741266351.7503736,330235.16541663924,4156650.9736534855,52,S
1741266351.8753736,330235.2123159168,4156651.105901906,52,S
1741266352.0003736,330235.25083344046,4156651.260522881,52,S
1741266352.1253736,330235.2979595591,4156651.403867265,52,S
1741266352.2503734,330235.3360233974,4156651.536296313,52,S
1741266352.3753734,330235.3385186534,4156651.6583519117,52,S
1741266352.5003734,330235.3679738968,4156651.802057553,52,S
1741266352.6253734,330235.37998511374,4156651.9572204123,52,S
1741266352.7503734,330235.401058604,4156652.123298608,52,S
1741266352.8753734,330235.430287004,4156652.255908286,52,S
1741266353.0003734,330235.44207137614,4156652.3999751834,52,S
1741266353.1253734,330235.46269118204,4156652.543861452,52,S
1741266353.2503734,330235.5012086987,4156652.698482429,52,S
1741266353.3753734,330235.53111761954,4156652.8643799964,52,S
1741266353.5003734,330235.5340665563,4156653.008627522,52,S
1741266353.6253734,330235.55468635994,4156653.1525137904,52,S
1741266353.7503734,330235.5666975711,4156653.3076766524,52,S
1741266353.8753734,330235.5966064916,4156653.4735742207,52,S
1741266354.0003734,330235.6346703159,4156653.6060032705,52,S
1741266354.1253734,330235.64645468653,4156653.750070168,52,S
1741266354.2503734,330235.6759099199,4156653.8937758105,52,S
1741266354.3753734,330235.71442742826,4156654.0483967885,52,S
1741266354.5003734,330235.7355009075,4156654.214474984,52,S
1741266354.6253734,330235.7470584352,4156654.3474459182,52,S
1741266354.7503734,330235.7588427994,4156654.491512816,52,S
1741266354.8753734,330235.77108085004,4156654.657771641,52,S
1741266355.0003734,330235.8005360792,4156654.8014772837,52,S
1741266355.1253734,330235.8299913075,4156654.9451829246,52,S
1741266355.2503734,330235.859446535,4156655.088888567,52,S
1741266355.3753734,330235.8891286049,4156655.2436901736,52,S
1741266355.5003734,330235.9190375126,4156655.4095877437,52,S
1741266355.6253734,330235.9310487169,4156655.5647506043,52,S
1741266355.7503731,330235.95166851056,4156655.7086368757,52,S
1741266355.8753731,330235.96345287556,4156655.8527037743,52,S
1741266356.0003731,330235.9933617805,4156656.018601343,52,S
1741266356.1253731,330236.0142084135,4156656.173583577,52,S
1741266356.2503731,330236.034828205,4156656.317469847,52,S
1741266356.3753731,330236.0466125662,4156656.461536746,52,S
1741266356.5003731,330236.0853569001,4156656.6272536893,52,S
1741266356.6253731,330236.0978217806,4156656.8046084773,52,S
1741266356.7503731,330236.10983298154,4156656.9597713402,52,S
1741266356.8753731,330236.13045277045,4156657.10365761,52,S
1741266357.0003731,330236.1336285417,4156657.2590010995,52,S
1741266357.1253731,330236.1549288546,4156657.4361752607,52,S
1741266357.2503731,330236.19321949943,4156657.579700277,52,S
1741266357.3753731,330236.2138392885,4156657.7235865477,52,S
1741266357.5003731,330236.24329450313,4156657.8672921928,52,S
1741266357.6253731,330236.27365707955,4156658.0553816906,52,S
1741266357.7503731,330236.2945037051,4156658.2103639254,52,S
1741266357.8753731,330236.3065149023,4156658.365526788,52,S
1741266358.0003731,330236.3185260991,4156658.5206896514,52,S
1741266358.1253731,330236.3307641365,4156658.6869484764,52,S
1741266358.2503731,330236.3513839196,4156658.830834748,52,S
1741266358.3753731,330236.3803854503,4156658.952348464,52,S
1741266358.5003731,330236.38333437825,4156659.0965959914,52,S
1741266358.6253731,330236.4218518542,4156659.251216972,52,S
1741266358.7503731,330236.4431521568,4156659.4283911344,52,S
1741266358.8753731,330236.45539019164,4156659.5946499608,52,S
1741266359.0003731,330236.46717454743,4156659.7387168594,52,S
1741266359.1253731,330236.4880211652,4156659.893699095,52,S
1741266359.250373,330236.50025920145,4156660.059957921,52,S
1741266359.375373,330236.5387766721,4156660.214578902,52,S
1741266359.500373,330236.56777819456,4156660.33609262,52,S
1741266359.625373,330236.59746023756,4156660.4908942296,52,S
1741266359.750373,330236.6357508669,4156660.6344192475,52,S
1741266359.875373,330236.6744951735,4156660.800136192,52,S
1741266360.000373,330236.6953417885,4156660.955118428,52,S
1741266360.125373,330236.6892284476,4156661.088450619,52,S
1741266360.250373,330236.69263105304,4156661.2548900736,52,S
1741266360.375373,330236.7046422426,4156661.410052935,52,S
1741266360.500373,330236.7338706,4156661.542662617,52,S
1741266360.625373,330236.7454281105,4156661.675633552,52,S
1741266360.750373,330236.76627472317,4156661.8306157887,52,S
1741266360.875373,330236.80456534284,4156661.9741408085,52,S
1741266361.000373,330236.82586563454,4156662.151314972,52,S
1741266361.125373,330236.8462585648,4156662.284105282,52,S
1741266361.250373,330236.84920748783,4156662.4283528086,52,S
1741266361.375373,330236.8612186767,4156662.583515672,52,S
1741266361.500373,330236.8732298631,4156662.738678536,52,S
1741266361.625373,330236.9022313746,4156662.8601922533,52,S
1741266361.750373,330236.93145972554,4156662.9928019373,52,S
1741266361.875373,330236.9611417582,4156663.1476035477,52,S
1741266362.000373,330236.99082378775,4156663.3024051576,52,S
1741266362.125373,330237.02073265647,4156663.4683027305,52,S
1741266362.250373,330237.0411255819,4156663.601093041,52,S
1741266362.375373,330237.04384766275,4156663.7342446037,52,S
1741266362.500373,330237.0649211076,4156663.9003228056,52,S
1741266362.6253726,330237.08554087405,4156664.0442090784,52,S
1741266362.7503726,330237.12360464095,4156664.1766381348,52,S
1741266362.8753726,330237.15283298516,4156664.309247818,52,S
1741266363.0003726,330237.1820613288,4156664.441857502,52,S
1741266363.1253726,330237.20290793246,4156664.5968397385,52,S
1741266363.2503726,330237.24187905504,4156664.7736526504,52,S
1741266363.3753726,330237.2620451355,4156664.8953469982,52,S
1741266363.5003726,330237.26499405375,4156665.0395945236,52,S
1741266363.6253726,330237.2681698121,4156665.194938015,52,S
1741266363.7503726,330237.2713455705,4156665.3502815077,52,S
1741266363.8753726,330237.3089556502,4156665.460518637,52,S
1741266364.0003726,330237.3293485708,4156665.593308948,52,S
1741266364.1253726,330237.34113290627,4156665.737375848,52,S
1741266364.2503726,330237.3705880855,4156665.8810814964,52,S
1741266364.3753726,330237.4093323608,4156666.046798445,52,S
1741266364.5003726,330237.4211166971,4156666.1908653458,52,S
1741266364.6253726,330237.4329010331,4156666.334932247,52,S
1741266364.7503726,330237.4449122087,4156666.490095112,52,S
1741266364.8753726,330237.44808796514,4156666.6454386027,52,S
1741266365.0003726,330237.45987230295,4156666.789505503,52,S
1741266365.1253726,330237.48026521713,4156666.9222958153,52,S
1741266365.2503726,330237.50949354947,4156667.0549055,52,S
1741266365.3753726,330237.53962923953,4156667.2318990394,52,S
1741266365.5003726,330237.56976492866,4156667.4088925794,52,S
1741266365.6253726,330237.57294068375,4156667.564236069,52,S
1741266365.7503726,330237.5851786986,4156667.7304948983,52,S
1741266365.8753726,330237.5883544537,4156667.8858383903,52,S
1741266366.0003724,330237.5915302088,4156668.0411818814,52,S
1741266366.1253724,330237.62982079363,4156668.184706904,52,S
1741266366.2503724,330237.6502137034,4156668.3174972152,52,S
1741266366.3753724,330237.6710602918,4156668.472479454,52,S
1741266366.5003724,330237.6919068798,4156668.627461693,52,S
1741266366.6253724,330237.71298030886,4156668.793539896,52,S
1741266366.7503724,330237.7333732166,4156668.9263302083,52,S
1741266366.8753724,330237.75421980274,4156669.081312447,52,S
1741266367.0003724,330237.76623097225,4156669.2364753117,52,S
1741266367.1253724,330237.77846898104,4156669.4027341413,52,S
1741266367.2503724,330237.7988618869,4156669.5355244526,52,S
1741266367.3753724,330237.8192547923,4156669.6683147657,52,S
1741266367.5003724,330237.8401013783,4156669.823297004,52,S
1741266367.6253724,330237.8697833769,4156669.9780986165,52,S
1741266367.7503724,330237.8820213836,4156670.144357447,52,S
1741266367.8753724,330237.89357887185,4156670.2773283855,52,S
1741266368.0003724,330237.9053631993,4156670.421395288,52,S
1741266368.1253724,330237.9085389512,4156670.5767387804,52,S
1741266368.2503724,330237.92055011773,4156670.7319016457,52,S
