index,Long,Lat,UTM_X,UTM_Y
1131,127.07852899999999,37.542223299999996,330248.4451264681,4156760.5315246065
1132,127.0785291,37.542224499999996,330248.45668377075,4156760.6644955673
1133,127.07852899999999,37.542225599999995,330248.45034360443,4156760.7867317987
1134,127.0785289,37.5422265,330248.44354977447,4156760.886776102
1135,127.0785284,37.542227499999996,330248.40164150426,4156760.9986388413
1136,127.0785279,37.5422285,330248.3597332331,4156761.110501582
1137,127.0785274,37.5422295,330248.31782496546,4156761.2223643223
1138,127.078527,37.542230599999996,330248.28497884667,4156761.34514241
1139,127.0785264,37.5422316,330248.23423526384,4156761.45718577
1140,127.078526,37.5422327,330248.20138914976,4156761.579963858
1141,127.0785255,37.5422337,330248.1594808848,4156761.6918266
1142,127.0785248,37.5422346,330248.0996751562,4156761.792954614
1143,127.07852399999999,37.5422353,330248.0305804443,4156761.872071319
1144,127.0785233,37.5422361,330247.97054788587,4156761.9621033673
1145,127.07852249999999,37.542237,330247.9019068424,4156762.0634120023
1146,127.07852199999999,37.542237899999996,330247.85977175133,4156762.164178781
1147,127.07852159999999,37.5422388,330247.8264719804,4156762.264764942
1148,127.078521,37.542239599999995,330247.77527474175,4156762.3546163742
1149,127.07852059999999,37.5422407,330247.742428639,4156762.4773944654
1150,127.07852,37.5422417,330247.6916850712,4156762.589437828
1151,127.0785195,37.542242699999996,330247.64977681905,4156762.7013005717
1152,127.0785188,37.5422436,330247.58997110464,4156762.802428591
1153,127.07851799999999,37.542244499999995,330247.52133007336,4156762.903737229
1154,127.07851699999999,37.5422455,330247.43524524535,4156763.0165030737
1155,127.078516,37.5422465,330247.34916041966,4156763.1292689163
1156,127.0785152,37.542247599999996,330247.280973064,4156763.252769487
1157,127.0785142,37.5422487,330247.19511507696,4156763.376631298
1158,127.0785133,37.542249999999996,330247.118546076,4156763.5225044186
1159,127.0785124,37.542251,330247.0412965756,4156763.635089647
1160,127.07851129999999,37.542252,330246.946376447,4156763.748036114
1161,127.0785102,37.542252999999995,330246.85145632084,4156763.860982584
1162,127.078509,37.542254,330246.7477008824,4156763.9741096743
1163,127.0785081,37.542255,330246.6704513915,4156764.0866949046
