index,Long,Lat,UTM_X,UTM_Y
1491,127.07614299999999,37.542313,330037.838103167,4156774.7968373573
1492,127.07614199999999,37.5423119,330037.7472517925,4156774.6765901265
1493,127.0761411,37.5423106,330037.6647814999,4156774.533970116
1494,127.0761404,37.5423094,330037.60020894033,4156774.4020843883
1495,127.07613959999999,37.5423082,330037.52680106706,4156774.270379505
1496,127.0761386,37.542307,330037.43572256784,4156774.139036308
1497,127.0761378,37.5423057,330037.3620875771,4156773.9962354572
1498,127.07613699999999,37.5423046,330037.28890681197,4156773.875626544
1499,127.0761361,37.5423034,330037.2066636173,4156773.7441025064
1500,127.0761352,37.5423022,330037.12442042015,4156773.6125784684
1501,127.0761344,37.542300999999995,330037.05101253535,4156773.4808735894
1502,127.0761337,37.542299899999996,330036.9866670744,4156773.3600838347
1503,127.076133,37.542298699999996,330036.9220944984,4156773.2281981134
1504,127.0761323,37.5422976,330036.85774903384,4156773.1074083596
1505,127.0761316,37.5422965,330036.79340356746,4156772.986618608
1506,127.07613079999999,37.5422954,330036.72022278607,4156772.8660097
1507,127.0761299,37.5422943,330036.6382066914,4156772.7455816367
1508,127.07612929999999,37.542293199999996,330036.58269653295,4156772.6246110406
1509,127.07612839999999,37.542291999999996,330036.5004533159,4156772.4930870086
1510,127.07612759999999,37.5422909,330036.4272725285,4156772.3724781033
1511,127.07612669999999,37.5422897,330036.3450293067,4156772.2409540727
1512,127.0761259,37.5422886,330036.2718485128,4156772.120345169
1513,127.07612519999999,37.5422874,330036.20727591694,4156771.9884594516
1514,127.0761235,37.5422851,330036.05185188807,4156771.7363265203
1515,127.07612289999999,37.542283999999995,330035.99634171743,4156771.615355929
1516,127.076122,37.542282799999995,330035.91409848206,4156771.483831902
1517,127.07612139999999,37.5422817,330035.858588308,4156771.362861312
1518,127.07612049999999,37.5422805,330035.77634506806,4156771.231337287
1519,127.07611969999999,37.5422793,330035.7029371409,4156771.0996324182
1520,127.0761189,37.5422781,330035.62952921377,4156770.9679275504
1521,127.076118,37.542277,330035.5475130839,4156770.847499497
1522,127.07611729999999,37.5422758,330035.4829404656,4156770.715613785
1523,127.07611639999999,37.5422745,330035.4004700965,4156770.572993794
1524,127.0761156,37.5422733,330035.3270621604,4156770.441288928
1525,127.0761149,37.5422722,330035.2627166535,4156770.320499186
1526,127.07611399999999,37.542271,330035.18047339475,4156770.188975168
1527,127.0761122,37.5422686,330035.01598687214,4156769.9259271305
1528,127.0761115,37.5422674,330034.9514142391,4156769.7940414217
1529,127.07611059999999,37.5422662,330034.86917097075,4156769.6625174065
1530,127.0761098,37.5422649,330034.795535901,4156769.5197165753
1531,127.07610899999999,37.5422637,330034.7221279447,4156769.388011715
1532,127.07610799999999,37.5422625,330034.63104935177,4156769.256668545
1533,127.07610729999999,37.5422613,330034.5664767105,4156769.1247828403
1534,127.0761065,37.54226,330034.49284162896,4156768.9819820113
1535,127.0761055,37.5422589,330034.40199014696,4156768.8617348145
1536,127.07610469999999,37.5422577,330034.32858217927,4156768.7300299564
1537,127.07610389999999,37.5422565,330034.2551742116,4156768.5983250993
1538,127.0761031,37.5422553,330034.18176623946,4156768.4666202436
1539,127.07610229999999,37.5422541,330034.1083582652,4156768.334915387
1540,127.0761016,37.5422529,330034.0437856093,4156768.203029686
1541,127.076101,37.5422517,330033.9880482678,4156768.070963137
1542,127.07610039999999,37.5422505,330033.93231092684,4156767.9388965885
1543,127.07609989999999,37.5422493,330033.88540890085,4156767.8066491936
1544,127.0760997,37.542248,330033.8647857156,4156767.6627632896
1545,127.0760993,37.5422468,330033.82671900635,4156767.530335049
1546,127.0760993,37.5422456,330033.8239935753,4156767.3971834206
1547,127.0760993,37.5422444,330033.82126814424,4156767.264031793
1548,127.0760995,37.5422431,330033.8359862331,4156767.1194225014
1549,127.07609959999999,37.5422419,330033.8420961222,4156766.9860900263
1550,127.07610009999999,37.5422407,330033.88354729314,4156766.8520341637
1551,127.0761005,37.5422395,330033.9161631434,4156766.718159148
1552,127.076101,37.5422383,330033.957614315,4156766.5841032867
1553,127.0761017,37.542237199999995,330034.01696324965,4156766.4607817004
1554,127.0761024,37.5422361,330034.0763121862,4156766.3374601146
1555,127.0761033,37.5422351,330034.15355888434,4156766.2248728066
1556,127.07610419999999,37.542234,330034.23057846376,4156766.10118953
1557,127.07610539999999,37.5422331,330034.334558247,4156765.9991556536
1558,127.0761065,37.5422322,330034.429702712,4156765.8973026243
1559,127.0761076,37.5422314,330034.5250742975,4156765.806545566
1560,127.0761088,37.5422307,330034.6295083242,4156765.72670363
1561,127.0761101,37.542229999999996,330034.74277767394,4156765.6466808487
1562,127.07611139999999,37.5422295,330034.85650126135,4156765.58885001
1563,127.0761127,37.542229,330034.9702248502,4156765.531019173
1564,127.07611399999999,37.5422288,330035.08462979295,4156765.5064762416
1565,127.0761153,37.5422284,330035.19858050393,4156765.459741377
1566,127.07611689999999,37.542228099999996,330035.33926429483,4156765.4235599455
